"Time","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14"
10657.9435,257.83581673307,179.48236233041,210.20858088441,168.58223907404,221.61266368572,222.02268197401,187.58400159585,178.30829077561,215.29898305085,176.04993812622,318.15103148318,190.44950502954,231.31067341813,184.60668554789
10667.9509,253.61685258964,180.14840383081,209.33813150445,168.21923767711,218.80285851166,219.45858247628,187.24572112508,178.80430098947,213.62185443669,175.70883397868,324.79250628467,189.91809037203,229.49459750409,184.06250747936
10677.9584,251.14258964143,179.3271348763,207.05490649547,168.82737976452,217.50451133823,218.36362911584,187.36269698783,178.27090647941,212.62464606182,176.1694543132,333.99604963888,190.56298898292,227.39248833779,183.85679524512
10687.9658,247.08693227092,179.99014365523,206.09836915348,168.27687088406,214.64723730438,216.11564219086,186.82274087373,178.59834822854,211.16693918245,175.82843000279,339.33446390806,189.82927510778,225.60356445118,182.83561370617
10697.9733,244.85800796813,179.30478850758,204.14326727541,168.64789463181,213.2549105717,214.92625368732,186.80817873529,178.14203638685,209.97742771685,176.20949263503,346.73277203623,190.67775027942,223.54308041944,182.8276756153
10707.9808,241.60764940239,180.18200319234,203.32038757526,168.43073238875,210.85863142766,212.81140875389,186.72499501297,178.8150335142,208.72917248255,175.83082511676,351.06148996449,189.98391346,222.37845380966,182.18480992461
10717.9882,239.14143426295,179.41145251397,201.49503568723,168.88201955698,209.7965506228,211.99928246831,186.52216237782,178.16310245771,207.77104685942,176.38645163866,357.97789393879,190.67443717069,219.7220605239,182.13849774622
10727.9957,235.92418326693,179.76017557861,200.6043303162,168.28094192776,207.30357713191,209.86697759707,186.16927987233,178.54209224386,206.26081754736,175.79198435192,361.02473963529,189.87122784608,218.92328854511,181.18508915394
10738.0031,233.31633466136,179.07114924182,198.96463176363,168.64003192976,205.86821303098,208.85533763852,185.89283861959,178.10249760613,205.61383848455,176.23875294399,365.95882047803,190.14441960722,216.52250707707,180.78902229846
10748.0106,230.39836653387,179.37745411014,197.83890904741,167.91949710637,203.34334078569,206.57773259986,185.89814482346,178.1780242579,203.93738783649,175.47970140913,367.17493316308,189.6261775507,215.5836290419,180.25417846743
10758.0181,228.13509960159,179.02685554669,196.74169623988,168.60379165835,202.47780261897,206.36283185841,185.53760223419,178.115783594,203.74444666002,176.40150093809,372.47420294482,190.51860130928,213.831904629,180.47999521321
10768.0255,225.7019123506,179.45606544294,195.72435105068,168.07283975254,200.36426061961,204.39922666029,185.51992818672,178.32169645707,202.30372881356,175.75577821245,373.83484298312,189.77949864282,212.70543439257,179.81191910328
10778.033,223.75545816733,179.16747805267,194.85126998684,168.80131710238,199.69650271479,204.09076775891,185.36469180132,178.20216246409,202.31266201396,176.50688595266,378.41387015682,190.52762254511,211.23479925043,179.77242809845
10788.0404,221.303187251,179.32709497207,193.67434905698,167.98140091798,197.83890929416,202.18356852428,185.23056054259,178.11378870093,200.59078763709,176.00159674265,379.14564462711,189.80764010857,210.17682708026,178.99218157884
10798.0479,219.19079681275,178.97976855547,192.88420590933,168.37214128916,196.59126477164,201.70489516065,184.9597047676,178.01165017555,200.48438683948,176.28633587482,381.97342484338,190.22405396775,208.39308640006,179.09437951255
10808.0553,216.79932270916,179.19453312051,191.57546154153,167.86689283576,194.80078249761,199.72614207128,184.94546179932,177.90181136291,198.95357926221,175.66041275797,381.98798930609,189.4119830752,207.67122523025,178.22561729626
10818.0628,214.8777689243,178.90526735834,191.18158618765,168.41452803832,193.74285372086,199.63932073667,184.86965888689,178.03243696138,199.26959122632,176.48532992695,384.78001675911,190.17459683858,206.23862684901,178.37727871076
10828.0703,213.27764940239,179.05059856345,189.84923641294,167.79497106366,192.27499201533,197.89396476122,184.80993417116,177.89842004469,197.60303090728,175.81186379785,384.35138262639,189.60274628772,205.69781906623,177.79177470182
10838.0777,211.31239043825,179.00822027135,189.76007815304,168.42091398922,191.50894282977,198.09300007973,184.50408936764,178.16409990425,197.89483549352,176.52285337911,387.02892941223,190.26077758263,204.28176707468,178.38992381028
10848.0852,209.94733067729,179.1709896249,188.46923721042,168.00267411694,190.35032737145,196.43701666268,184.59477358867,178.07879827641,196.47517447657,176.11165222945,387.61234587606,189.63583745809,203.83672899805,177.39774223144
10858.0926,208.08478087649,178.99453312051,188.18019059771,168.28345639593,189.24700574896,196.12875707566,184.23323359266,178.17830354293,196.75613160518,176.37707077562,388.25613503053,190.24660705732,202.18543917707,177.81590809366
10868.1001,206.90669322709,179.03052673583,187.02631683879,167.91486729196,188.3700095816,194.8982300885,184.6258128865,177.75027928503,195.1687337986,176.05069657898,388.35182155541,189.67160306562,202.00610023524,176.74522318401
10878.1076,205.1080876494,178.86225059856,186.9000358866,168.231610457,187.04643085276,194.72482659651,183.87684021544,178.13226141079,195.55166500499,176.23192686919,388.61813175851,189.88096758742,200.49667078665,177.10495033707
10888.115,203.91984063745,178.65,185.50169464492,167.59772500499,186.069227084,193.25296978394,184.18456014363,177.66928662624,194.04083748754,175.93261746038,387.84062886557,189.35889350152,200.08907140864,176.31560891938
10898.1225,202.12701195219,178.83419792498,185.58638701703,168.07515465975,184.94175183647,193.15028302639,183.70867743866,178.11175390999,194.24079760718,176.25527923037,387.98595427158,189.82420565224,198.80981619553,176.63385057242
10908.1299,201.11888446215,178.62693535515,184.35316400175,167.65827180204,184.37204567231,192.03667384198,183.96856173948,177.63014682413,192.95042871386,175.84479661491,387.86780256175,189.55436691681,198.71592041785,176.0371375005
10918.1374,199.62836653387,178.81891460495,184.4586307269,167.90892037518,183.45700255509,191.88196603683,183.43490923599,177.99142195978,193.31154536391,176.37204103629,387.48840828379,189.94734951301,197.02053347155,176.20335872991
10928.1449,198.69764940239,178.51584197925,183.36656166514,167.59744561964,182.76545033536,190.7121502033,183.61603830042,177.44162942866,191.97491525424,175.93952337232,386.92422489127,189.57097237746,197.17116542403,175.70062627149
10938.1523,197.23334661355,178.84313647247,183.33872961442,167.97341847935,181.9202730757,190.84473411465,183.32164372631,177.85181934248,192.5287337986,176.12730030737,386.26571166354,189.92507584225,195.95020134763,176.00031911923
10948.1598,196.75948207171,178.54956105347,182.43761712987,167.77645180603,181.60471893964,189.72542453958,183.74310791941,177.69510054261,191.5112662014,176.02834218195,386.26224013407,189.78257224972,196.17295961086,175.44106266704
10958.1672,195.13561752988,178.79808459697,182.55983093425,167.93869487128,180.77802618972,190.01742007494,183.1977658089,178.06168209384,191.8214556331,176.15244900403,385.06767487331,189.50407153122,194.94900522308,175.64681479118
10968.1747,194.47294820717,178.35917797287,181.45823198692,167.6865296348,180.17765889492,188.89974487762,183.39285856772,177.35265719757,190.58967098704,175.894654904,384.74542117234,189.53844004471,194.70348072246,174.94036459372
10978.1821,193.05422310757,178.63383878691,181.65070377607,167.64681700259,179.17378633025,188.81144861676,182.72738878915,177.87112990744,191.00255234297,175.8452756377,382.37644148278,189.32628133482,193.65507754874,175.47121943436
10988.1896,192.97772908367,178.46221069433,180.7913792416,167.77114348433,178.8862583839,187.85390257514,183.38100937562,177.33334663262,189.81627118644,176.01141670991,382.48250269343,189.63671563149,194.07152824848,174.8731102158
10998.1971,191.36880478088,178.70087789306,180.89401491288,167.76990620635,178.08763174705,187.76716096628,182.79672850589,177.9300989467,190.37487537388,176.03045786595,380.21902557759,189.42595401565,192.70375981819,175.17260361403
11008.2045,191.44406374502,178.40845969673,180.01168308146,167.77589303532,177.90562120728,187.23782189269,183.36513066028,177.4828040217,189.41463609173,175.93812622251,380.03954351383,189.31961520038,192.96487380886,174.68139933783
11018.212,189.76677290837,178.78834796488,180.17249491607,167.94967072441,177.01537048866,186.95487522921,182.70293237582,178.07313278008,189.79848454636,175.9779649515,377.24851362675,189.3929825962,191.81962441689,175.05692289282
11028.2194,189.98764940239,178.42725458899,179.29618405838,168.03843544203,177.04000319387,186.57813122857,183.29235986435,177.42028407277,189.15054835494,176.00906151451,377.61581740553,189.7049736548,192.13492284997,174.31517013044
11038.2269,188.40374501992,178.75822027135,179.565333546,168.02849730593,176.14053018205,186.39248983497,182.63123877917,178.1147462496,189.25822532403,176.03385094407,374.31670723435,189.48942200224,190.90941350026,174.89899876341
11048.2344,188.61115537849,178.23778930567,178.7130268352,168.23851526641,176.22768284893,185.95116798214,183.26790345103,177.52401851261,188.42536390828,175.8823999042,373.78324887275,189.79506626218,191.3832781787,174.25573417368
11058.2418,187.01370517928,178.71145251397,179.05382989752,167.8403512273,175.25734589588,185.44343458503,182.77626171953,178.25965528248,188.71748753739,175.84371881362,369.93547743506,189.43194156155,190.29305051633,174.64713391041
11068.2493,187.29820717132,178.47418196329,178.31644004944,168.31734184794,175.50223570744,185.4121820936,183.22485537602,177.80573731248,188.15425722832,175.98942157998,369.37320936914,189.74916174357,190.43387424744,174.17463799912
11078.2567,185.93928286853,178.65969672785,178.63435543682,168.05268409499,174.52383423826,184.95866220203,182.38412128466,178.22083466326,188.12486540379,175.84431759211,365.12720960856,189.02981797861,189.48331406244,174.25250309147
11088.2642,186.08490039841,178.1160415004,177.72375294071,167.97505487927,174.53625039923,184.76612453161,183.17127468582,177.56722789659,187.53248255234,175.7713863718,362.53349826424,189.65962797381,189.60308600136,173.77406358451
11098.2716,184.87179282869,178.68858739026,177.97188883129,167.92827778887,173.63849409135,184.32296898669,182.51585876721,178.03064155761,187.77555333998,175.732266177,357.86333346634,189.02151524828,189.13803277381,174.1310782241
11108.2791,185.14203187251,178.11300877893,177.08513098608,168.06230293355,173.9513334398,184.32958622339,183.01228805107,177.5410150016,187.25264207378,175.81777174564,355.21794820638,189.57711959125,189.05231051394,173.75874586142
11118.2866,183.98928286853,178.67322426177,177.7348379122,167.83867491519,172.94682210157,183.88563342103,182.52116497108,178.12452122566,187.18005982054,175.69039160113,349.75184549699,189.12330352866,188.455284877,174.05748135147
11128.294,184.02247011952,178.12378292099,176.88452490131,168.20315306326,173.41939476206,183.88499561508,183.02748852982,177.51827322056,186.91094715852,176.00107780129,346.80320019153,189.61619830752,188.47705434393,173.50209421995
11138.3015,183.07948207171,178.81719872307,177.30240440209,167.8076232289,172.3184685404,183.38208562545,182.44348693397,178.19242738589,186.78827517448,175.47942197916,340.20458082279,189.2568657193,187.93453211594,173.87418724321
11148.3089,183.2684063745,178.23918595371,176.41365285697,168.24242666135,172.62651708719,183.56521565814,182.91753441053,177.71724385573,186.41551345962,176.01896131891,337.5608714736,189.66493693118,187.87731749133,173.50692089832
11158.3164,182.33258964143,178.77238627295,177.04717093983,167.83436439832,171.69215106995,183.02244279678,182.41691601835,178.16058889244,186.58855433699,175.54113608239,330.84577630581,189.16585502156,187.42091623141,173.66093581715
11168.3239,182.46243027888,178.12027134876,176.2152797161,168.19074037118,171.99361226445,183.19245794467,182.84432475564,177.52090647941,186.32969092722,175.90447487126,327.82382985515,189.52642503593,187.50588094574,173.3064741314
11178.3313,181.28924302789,178.50953711093,176.29518720842,167.87463580124,171.12663685723,182.42326397194,182.11960901656,178.03766358123,186.06125623131,175.28793261746,320.71597302582,188.75447070094,186.77612535385,173.29139574774
11188.3388,181.55119521912,177.9794094174,175.64867020216,167.87675114748,171.15901469179,182.44694251774,182.77023738281,177.52142515161,185.8806779661,175.59873857331,316.79075056861,189.56757943478,186.69335353455,173.30220591168
11198.3462,180.79342629482,178.61428571429,175.93464651701,167.73514268609,170.56946662408,182.27286135693,182.2714941153,178.73196616661,185.77714855434,175.28881082592,310.96843701369,188.85266645378,186.71245165663,173.14807132315
11208.3537,180.84812749004,177.96991221069,175.29973284421,167.99728597086,170.91324656659,182.32472295304,182.57697985238,181.56950207469,185.62616151545,175.76036884755,307.61274490244,189.41828995689,186.24799649137,173.10487055726
11218.3612,180.02768924303,178.42709497207,175.58854021293,167.69387347835,170.06507505589,181.78832815116,182.25920606423,188.91980529844,185.49535393819,175.19228773303,301.17545189737,188.85019160147,186.14285714286,172.98117196538
11228.3686,180.49772908367,178.10159616919,175.43410821803,168.21819996009,170.5359709358,182.09511281193,182.67755834829,197.94932971593,185.62927218345,175.79813181111,298.83324687762,189.77391026665,185.99082971173,173.26478918186
11238.3761,179.80693227092,178.7125698324,175.40910722118,167.80546797047,169.76261577771,181.5060591565,182.23698384201,209.16302266199,185.09112662014,175.32054608599,292.5992179083,188.71000319336,185.73768988477,173.00079779808
11248.3835,179.91581673307,178.12342378292,175.07352765262,168.03711833965,170.08659374002,181.81304313163,182.49838420108,219.43831790616,185.47326021934,175.70536106343,289.40094170225,189.62026983874,185.58574219529,173.05819936974
11258.391,179.1728685259,178.66129289705,175.15247816899,167.48269806426,169.39484190355,181.21063541418,182.31398364253,231.17511171401,185.13954137587,175.0316953415,283.61011132836,188.7625738464,185.60001594833,172.92552554948
11268.3984,179.36011952191,178.24393455706,174.77905817616,168.18112153263,169.822101565,181.569919477,182.70329144225,241.15117299713,185.5785443669,175.80407967746,281.16830932525,189.52917930704,185.20413859097,173.03458454665
11278.4059,178.96653386454,178.71979249801,175.06846365485,167.84047096388,169.23606675184,181.02949852507,182.61767404748,252.34176508139,184.96977068794,176.00918127021,275.82371014724,188.91298099952,185.54906104222,172.89106067254
11288.4134,178.89430278885,178.3263367917,174.53682363731,168.14428257833,169.69678217822,181.54066012916,182.66116098145,260.95144430259,185.36510468594,180.46984152329,273.16276285863,189.58007344723,184.98648379251,173.06238780965
11298.4208,178.5303187251,178.71237031125,174.83942740939,167.60890041908,168.98934046631,180.98800127561,182.63275483742,270.99620970316,184.85152542373,187.4321184783,268.01516300227,188.88835222737,185.17020852438,172.81949818501
11308.4283,178.4874501992,178.25355147646,174.69460504805,168.05735382159,169.26349409135,181.27027027027,182.64659884301,278.85928024258,185.25882352941,197.87529439943,265.79577830095,189.67204215232,184.80467285993,173.10056244765
